,Crime_Type,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Public_Complaints,Location,Ride_Duration_Minutes,Ride_Fare_INR,Ride_Surge_Pricing_Factor,Driver_Rating,Ride_Cancellation_Status,Weather_Temperature_C,Weather_Visibility_KM,Weather_Humidity_%,Weather_Wind_Speed_KMH,Weather_Condition,Road_Accidents_Reported,Nearby_CCTV_Cameras,Time_of_Day,Num_Police_Stations_Nearby
29,Harassment,1.0,35,1,1,6,Connaught Place,111,269.9350765658734,2.0,2.1,Completed,43.74843127503703,5.201805862328344,27,26,Foggy,3,4,Afternoon,2
30,Harassment,5.0,52,0,1,3,Lajpat Nagar,99,111.60616447991036,1.5,1.2,Completed,17.28506638642404,9.330804068462896,40,24,Foggy,0,4,Evening,3
31,Assault,5.0,30,0,1,6,Karol Bagh,64,778.7512975295257,1.2,2.7,Cancelled,32.53654321333287,7.647203287044477,86,45,Sunny,1,8,Morning,3
32,Assault,6.0,47,1,0,6,Saket,79,1115.9387740341365,1.5,4.3,Cancelled,19.290205139641323,0.8622243183484855,78,40,Sunny,1,7,Evening,4
33,Theft,7.0,24,1,1,6,Juhu,60,307.00202712063736,1.5,2.6,Completed,29.227251831947164,2.62213703849094,66,8,Cloudy,2,3,Evening,3
34,Harassment,5.0,19,0,1,3,Dwarka,108,1052.4137517895651,2.0,2.1,Completed,28.95595977335045,1.1933294863457191,51,38,Foggy,4,0,Night,0
35,Theft,2.0,29,1,1,8,Andheri,118,842.2558020405413,1.5,3.2,Completed,25.75161067767241,9.949504690766114,77,36,Sunny,4,1,Afternoon,4
36,Burglary,2.0,13,1,1,4,Bandra,8,568.8773171065632,1.2,3.3,Completed,27.45254516257539,4.510813597763048,45,19,Cloudy,4,2,Morning,4
37,Theft,4.0,48,1,0,1,Juhu,22,1013.4242195264716,1.5,4.0,Completed,40.80809018512532,1.7748664924635875,32,19,Sunny,4,6,Afternoon,1
38,Fraud,1.0,23,0,1,6,Saket,33,328.36632749654484,1.5,4.2,Completed,13.101158381801657,3.902615800068033,34,21,Rainy,0,5,Afternoon,3
39,Theft,7.0,12,1,1,4,Dwarka,115,712.550415379619,1.0,3.8,Completed,39.059909935775465,9.80951574915498,21,46,Foggy,2,4,Evening,3
40,Fraud,1.0,49,1,1,5,Karol Bagh,43,846.4922232691049,1.0,1.0,Completed,26.18096659501133,1.8585160786331356,52,34,Sunny,4,1,Afternoon,4
41,Fraud,3.0,48,1,0,6,Dwarka,59,715.1085333850574,1.2,1.0,Completed,21.675791249498197,3.8909640717555183,83,40,Cloudy,2,5,Afternoon,2
42,Fraud,10.0,41,1,1,2,Juhu,62,626.3769964428944,1.5,4.9,Completed,16.200109105367225,3.1201073374984,50,17,Cloudy,2,5,Morning,0
43,Burglary,7.0,29,1,1,4,Dadar,51,,1.0,2.1,Completed,38.51822605064888,8.007060281800626,84,10,Cloudy,4,9,Evening,3
44,Theft,6.0,6,1,0,5,Karol Bagh,35,1001.3464014574072,1.2,2.1,Completed,30.7214781037642,0.7423099159734489,98,35,Sunny,2,7,Morning,2
45,Theft,7.0,51,1,1,1,Dwarka,119,977.2200237740548,1.5,3.9,Completed,35.49315023173745,9.493789501355485,73,24,Sunny,0,7,Afternoon,3
46,Burglary,5.0,23,1,0,8,Lajpat Nagar,32,1343.110935124665,1.2,3.3,Completed,21.02371397977369,8.752618895179234,34,20,Sunny,2,6,Evening,2
47,Harassment,8.0,31,1,1,3,Lajpat Nagar,31,,1.5,2.9,Completed,23.753574180212183,3.961494895754415,71,24,Sunny,4,8,Night,0
48,Assault,6.0,45,1,1,0,Lajpat Nagar,34,872.4465731693011,2.0,1.5,Cancelled,41.977530508882,9.06189885752515,90,6,Sunny,2,2,Afternoon,0
49,Theft,4.0,21,0,1,7,Connaught Place,53,554.9884226573294,1.0,1.3,Completed,43.641379990308366,4.544471296700432,62,20,Cloudy,2,7,Afternoon,0
50,Assault,1.0,24,0,0,2,Connaught Place,46,1179.3692563136312,2.0,3.8,Completed,,3.273262526665752,31,39,Foggy,4,7,Morning,0
51,Burglary,2.0,8,1,1,1,Juhu,79,256.0436410351076,1.5,1.5,Completed,36.22991053515105,4.366549850636368,96,23,Rainy,0,4,Night,1
52,Harassment,6.0,44,0,1,6,Andheri,82,793.7182980140599,2.0,2.7,Completed,34.30400969744781,8.337485277332423,24,43,Cloudy,4,0,Evening,4
53,Harassment,4.0,9,1,1,9,Andheri,72,810.5372988342273,2.0,3.9,Completed,30.55234776492008,5.830737891023543,25,40,Rainy,1,7,Evening,3
54,Harassment,3.0,22,1,1,9,Dadar,104,1476.0284079179962,1.0,4.7,Cancelled,30.82774154787683,2.563583626063011,24,36,Foggy,1,1,Afternoon,3
55,Burglary,7.0,4,1,1,0,Karol Bagh,5,1486.959881730736,2.0,4.5,Completed,43.73310116273887,1.1620211701526997,81,39,Sunny,2,3,Morning,2
56,Fraud,7.0,13,0,1,8,Connaught Place,48,1208.8605005072857,1.5,4.5,Cancelled,36.28190343700668,6.2622917144899874,64,8,Sunny,3,9,Night,1
57,Fraud,2.0,34,1,1,1,Connaught Place,107,735.8727472890907,1.5,2.4,Completed,32.93694536337516,8.27493127737084,58,37,Foggy,1,3,Afternoon,3
58,Assault,8.0,3,1,1,3,Karol Bagh,41,843.4773954634361,2.0,4.7,Completed,16.617436100774103,8.627375768216671,89,10,Cloudy,1,2,Morning,0
59,Fraud,1.0,37,1,0,3,Dwarka,37,513.6253657017153,1.0,3.7,Completed,44.19758911661949,8.3178067655365,25,36,Sunny,1,2,Afternoon,3
60,Fraud,10.0,56,1,1,4,Andheri,25,1253.2762703328303,1.0,4.5,Cancelled,28.210267940341183,5.377613328843815,94,7,Rainy,3,2,Afternoon,2
61,Harassment,7.0,28,1,1,1,Dwarka,92,1132.4919810617737,2.0,1.4,Completed,43.029963041116325,4.088314619021618,35,25,Rainy,3,9,Evening,3
62,Harassment,10.0,26,1,1,5,Colaba,44,1168.5666673449784,1.0,1.2,Completed,34.97451381500281,9.766325032782005,86,44,Foggy,0,6,Morning,2
63,Assault,1.0,50,0,0,3,Dwarka,65,251.0806903248978,2.0,2.7,Completed,11.40282937530994,9.262904558628106,51,30,Sunny,3,1,Evening,0
64,Theft,3.0,53,1,1,6,Andheri,118,628.0192583999946,2.0,4.3,Completed,28.86484249142371,7.644271182548845,44,11,Sunny,0,1,Evening,2
65,Assault,3.0,46,1,1,4,Karol Bagh,17,829.1599511118193,1.2,2.6,Cancelled,41.24387415118576,4.5856865846518,54,43,Sunny,4,2,Night,3
66,Assault,10.0,57,1,0,5,Andheri,117,,2.0,4.5,Completed,11.812323992795053,9.74792585854315,65,36,Sunny,0,5,Night,3
67,Burglary,2.0,34,0,1,9,Karol Bagh,102,584.5033882562097,1.0,1.9,Completed,40.33546426142736,4.052078956872717,83,41,Rainy,0,7,Evening,2
68,Burglary,10.0,15,1,1,5,Connaught Place,42,176.77715750060526,1.5,1.2,Completed,31.468695227735054,7.002586321684856,73,19,Rainy,1,2,Afternoon,1
69,Assault,5.0,8,1,0,6,Lajpat Nagar,33,1440.3197795486494,2.0,4.0,Completed,11.558454170718807,3.2959274245512797,46,8,Sunny,2,7,Evening,2
70,Assault,4.0,48,1,0,4,Connaught Place,57,1139.331827885235,1.2,3.5,Completed,23.07594157340349,8.438942703199041,32,21,Foggy,1,4,Night,3
71,Assault,6.0,35,1,1,3,Colaba,68,950.0847754279048,1.2,2.8,Completed,11.055970798540269,8.671269651345213,50,42,Foggy,1,9,Night,0
72,Fraud,2.0,24,0,1,9,Lajpat Nagar,40,347.04182861407384,1.2,4.4,Completed,10.060070421471934,5.336646539906658,86,49,Rainy,4,7,Night,2
73,Burglary,4.0,52,1,1,8,Dadar,108,534.4847839073379,1.2,4.3,Completed,41.37487953289117,5.840661559651463,50,22,Foggy,0,5,Night,0
74,Assault,7.0,52,1,1,5,Lajpat Nagar,115,259.50310777437176,1.0,2.3,Completed,36.20024053069625,9.511316701138036,81,21,Rainy,0,4,Evening,3
75,Harassment,1.0,55,0,1,6,Andheri,9,,1.5,4.4,Completed,20.13152025023152,1.8501368295059588,56,46,Rainy,1,3,Afternoon,3
76,Harassment,3.0,37,0,0,7,Karol Bagh,24,1239.748185192795,2.0,2.4,Completed,,4.978163381147715,41,18,Cloudy,3,4,Afternoon,4
77,Fraud,1.0,4,1,1,0,Dwarka,97,77.60295645022686,2.0,3.5,Completed,11.905140370240328,5.520018972004879,64,5,Foggy,2,9,Afternoon,3
78,Fraud,2.0,55,0,1,2,Bandra,15,199.79757106115025,1.5,1.8,Cancelled,42.10278157510043,8.256206627392036,34,37,Cloudy,1,0,Evening,2
79,Theft,9.0,12,1,1,7,Connaught Place,76,,2.0,2.1,Completed,31.89448982674465,7.889268902843232,81,21,Cloudy,2,8,Morning,2
80,Theft,10.0,19,1,0,7,Saket,32,1085.3967775806773,2.0,2.8,Cancelled,15.6195610682715,6.219652885489556,97,36,Sunny,1,8,Afternoon,4
81,Theft,5.0,15,1,1,9,Colaba,53,1346.2707662155535,1.2,2.3,Cancelled,33.85116872067812,1.9781367561762413,67,44,Sunny,1,3,Morning,2
82,Fraud,4.0,57,1,1,7,Dwarka,45,1141.867888323013,1.2,1.5,Completed,44.96117506463914,4.358940198319901,34,46,Rainy,4,0,Afternoon,1
83,Fraud,4.0,30,1,1,2,Juhu,22,811.1739477477972,1.0,2.9,Completed,37.580959713676535,1.366463003591313,48,35,Cloudy,1,9,Night,3
84,Fraud,8.0,45,0,1,6,Karol Bagh,34,202.4129279656922,1.5,3.0,Cancelled,25.628630744590744,1.9283436263523963,45,42,Sunny,3,6,Evening,3
85,Harassment,3.0,37,1,1,9,Bandra,18,1144.6258428169062,1.0,1.6,Completed,38.49618347150499,2.651816583963029,41,43,Rainy,3,5,Evening,4
86,Fraud,4.0,12,1,0,5,Andheri,60,,2.0,1.7,Completed,36.05073386686445,3.669768727951576,23,31,Cloudy,0,5,Afternoon,3
87,Harassment,2.0,19,1,1,9,Bandra,77,554.1502898796195,1.2,1.1,Cancelled,13.10286192278912,4.681669526164576,52,21,Cloudy,1,5,Afternoon,1
88,Theft,6.0,34,0,1,5,Andheri,78,496.5876916730288,1.2,1.1,Completed,42.39938188568132,7.346363058539538,76,34,Sunny,0,9,Night,3
89,Theft,9.0,7,0,0,3,Connaught Place,93,570.8740219178296,1.2,2.4,Completed,40.94361367789065,0.720231109044227,88,43,Rainy,0,2,Night,2
90,Theft,4.0,28,1,1,9,Karol Bagh,56,527.8171129310057,1.5,1.6,Completed,30.66958330523213,8.783785258167574,47,10,Cloudy,2,3,Night,3
91,Assault,6.0,55,1,1,1,Bandra,95,1165.3105892392298,2.0,4.7,Completed,27.785222199800074,9.92476463886043,54,15,Cloudy,4,0,Night,1
92,Assault,4.0,28,1,1,1,Lajpat Nagar,70,298.9994142444921,1.5,1.8,Completed,17.970948162244333,9.659099413901188,61,10,Foggy,2,0,Afternoon,2
93,Burglary,2.0,29,1,1,6,Karol Bagh,71,1276.4767726556702,1.2,1.3,Cancelled,39.2060261363491,4.537263389816852,51,34,Sunny,3,6,Night,2
94,Burglary,6.0,37,1,1,2,Karol Bagh,33,1294.4773588427192,1.5,2.6,Completed,25.11602433531164,4.293925026578995,65,22,Cloudy,2,3,Afternoon,1
95,Burglary,7.0,20,0,1,9,Andheri,105,761.8424430929308,1.2,1.8,Completed,30.27573419239048,5.462089853066407,43,45,Cloudy,4,1,Afternoon,4
96,Assault,4.0,11,1,0,2,Karol Bagh,31,203.9156853094232,1.5,1.2,Completed,15.953061974026848,6.813753659250521,92,8,Rainy,3,7,Evening,4
97,Assault,7.0,50,1,1,5,Saket,72,884.3404965726813,1.5,4.0,Completed,17.483796536665263,3.1371276536691743,67,36,Cloudy,2,6,Evening,3
98,Burglary,8.0,50,0,1,3,Dadar,39,1240.3504891088032,1.2,3.2,Completed,44.48204634785,6.721901283393601,73,13,Cloudy,4,9,Afternoon,0
99,Burglary,3.0,39,0,1,2,Lajpat Nagar,95,469.73660287531,2.0,1.2,Completed,27.289998946409774,3.4378183223239414,37,7,Foggy,1,1,Afternoon,2
100,Fraud,2.0,42,1,1,5,Andheri,87,1264.7337650849086,2.0,2.9,Completed,38.5510007441198,6.776331653305878,30,31,Foggy,1,6,Afternoon,1
101,Burglary,5.0,23,1,1,0,Bandra,14,1031.5323364362837,1.5,1.2,Completed,39.04055008874017,6.700583644050087,41,7,Foggy,0,6,Evening,1
102,Fraud,2.0,52,0,0,0,Andheri,30,1481.5073390771115,1.2,2.4,Completed,44.35286157071901,0.507876369616507,96,31,Foggy,2,2,Afternoon,2
103,Harassment,,46,1,1,7,Lajpat Nagar,75,1245.831477058565,1.0,2.5,Completed,44.40164054195101,8.77687286869452,77,40,Cloudy,3,8,Evening,1
104,Assault,5.0,20,0,1,7,Karol Bagh,95,342.17567293482784,1.5,4.3,Cancelled,25.99343963669929,2.329213692278248,93,17,Sunny,0,4,Night,4
105,Burglary,10.0,20,0,0,8,Bandra,98,,1.0,3.9,Completed,43.26121321313624,9.931220292223626,62,12,Cloudy,2,7,Evening,4
106,Assault,6.0,11,1,1,2,Andheri,80,200.08727396378197,1.2,4.6,Completed,22.79090468190762,5.725380718726806,25,18,Sunny,3,7,Morning,2
107,Assault,8.0,2,0,0,4,Juhu,108,151.02232187917517,2.0,1.6,Completed,31.26736944033321,4.171804228049321,54,30,Sunny,1,0,Afternoon,4
108,Assault,6.0,13,1,1,5,Bandra,65,1073.7786492631994,2.0,3.1,Completed,38.75993504879187,1.3712836651591769,22,41,Cloudy,0,4,Night,2
109,Harassment,4.0,13,1,1,2,Dadar,73,1373.7511169223153,1.2,1.1,Completed,41.98252880708637,6.969342729624178,62,33,Cloudy,3,4,Afternoon,3
110,Theft,3.0,41,0,1,7,Colaba,60,1461.6844991791152,1.5,4.3,Completed,28.334372847883422,3.917968622225668,53,7,Cloudy,2,2,Afternoon,0
111,Burglary,2.0,49,1,1,2,Connaught Place,81,442.17621363185634,2.0,2.5,Completed,24.62508103401049,9.64827207082072,22,28,Sunny,0,4,Evening,1
112,Theft,1.0,15,1,1,8,Dadar,68,342.568445696022,1.5,1.3,Completed,35.498131877394194,8.644087923328474,64,19,Rainy,3,0,Afternoon,1
113,Theft,2.0,56,1,1,4,Colaba,45,,2.0,2.3,Completed,25.95746489276917,1.6819208813850297,64,41,Foggy,2,9,Evening,1
114,Theft,2.0,54,1,1,9,Dadar,8,341.24710596622907,2.0,2.1,Completed,33.5130500277032,4.848027097182378,56,18,Rainy,3,9,Morning,1
115,Assault,5.0,31,1,0,6,Karol Bagh,70,479.06528059891696,1.5,4.1,Completed,38.147661776232894,4.719035471251385,72,44,Rainy,0,0,Afternoon,0
116,Fraud,9.0,58,0,1,6,Connaught Place,41,1263.9781786137453,1.2,1.5,Completed,39.43945437025487,7.233366547838967,24,35,Sunny,2,9,Afternoon,1
117,Assault,1.0,23,0,1,4,Connaught Place,38,1225.171141891224,1.5,3.2,Completed,18.900991458887248,3.0930048438408324,69,15,Foggy,4,0,Evening,2
118,Assault,4.0,53,1,1,7,Lajpat Nagar,54,1347.856248755137,1.0,4.2,Completed,,8.44411191323276,94,30,Foggy,0,5,Afternoon,1
119,Theft,10.0,22,0,0,0,Juhu,74,749.2530966462729,2.0,4.0,Completed,10.87619921710067,9.443796245685668,83,5,Foggy,3,5,Evening,0
120,Assault,7.0,54,1,1,5,Karol Bagh,94,867.9243138555227,2.0,4.7,Completed,37.92146740604666,5.74722637528811,36,29,Cloudy,4,9,Evening,0
121,Theft,10.0,16,0,0,2,Dadar,79,1167.3547868359149,1.5,1.0,Completed,14.378331055262606,9.308894283441669,23,25,Cloudy,2,0,Morning,4
122,Fraud,3.0,57,1,1,1,Dadar,46,396.9350230234185,1.2,2.4,Completed,40.50895751754378,3.590925283683096,27,38,Rainy,1,0,Morning,1
123,Burglary,8.0,42,0,1,1,Dadar,5,1243.485707359824,2.0,2.5,Completed,24.238336170505143,3.514661239117754,60,7,Sunny,3,4,Afternoon,2
124,Theft,,29,1,0,3,Colaba,38,75.458345751985,1.0,1.1,Cancelled,15.854389723807277,7.3717618561123714,41,11,Cloudy,3,1,Night,4
125,Fraud,,20,1,1,8,Dadar,89,1206.6068387771495,1.0,4.3,Completed,37.8535220039913,4.721453061258925,46,15,Cloudy,0,2,Evening,0
126,Burglary,2.0,28,0,1,0,Juhu,14,1175.0665243861351,1.5,3.8,Completed,17.01002354617065,3.123471224819296,77,35,Rainy,1,6,Evening,3
127,Harassment,5.0,27,1,1,2,Connaught Place,9,487.58092727176006,2.0,3.1,Completed,23.804513578627205,3.441575432893845,25,30,Cloudy,0,2,Evening,3
128,Theft,,44,1,1,0,Dwarka,94,1105.472919333592,1.2,2.6,Completed,29.84066686758732,8.407455401799133,50,27,Sunny,4,0,Night,0
129,Theft,9.0,29,1,1,0,Dwarka,48,360.2907405364261,1.2,4.6,Cancelled,22.60104784881992,6.646475155224237,78,20,Rainy,1,0,Night,0
130,Harassment,3.0,5,0,1,9,Karol Bagh,23,885.5373245981236,1.5,2.1,Completed,16.266005986607187,8.018912416183948,23,23,Sunny,1,4,Evening,1
131,Harassment,5.0,52,1,1,6,Karol Bagh,25,1065.8508236286816,2.0,2.3,Completed,24.213282861380076,4.421362830735511,66,24,Foggy,0,8,Evening,1
132,Theft,10.0,49,1,1,7,Bandra,38,1086.3133794837188,1.2,4.8,Cancelled,15.04855297059554,9.418787916190013,62,14,Rainy,1,2,Morning,1
133,Harassment,9.0,42,0,1,9,Connaught Place,33,1475.2559457824218,1.5,1.3,Completed,35.17044119083455,8.961712774399343,79,48,Sunny,3,4,Evening,0
134,Assault,6.0,38,1,1,2,Karol Bagh,106,313.9082096762125,2.0,4.1,Completed,16.002673751158902,0.8399975214216211,47,26,Foggy,2,5,Morning,2
135,Burglary,,53,0,1,0,Dwarka,83,747.1580118913088,1.2,3.9,Completed,26.88338877296357,3.9669420302946814,82,27,Cloudy,0,6,Afternoon,0
136,Burglary,1.0,52,1,0,0,Bandra,44,1326.151589146782,1.0,4.6,Completed,29.613238879320622,1.2022600106268984,36,12,Foggy,4,3,Afternoon,1
137,Burglary,1.0,38,1,0,6,Dadar,84,864.193278801501,2.0,1.4,Completed,43.07734287739021,2.7591101701058123,69,43,Sunny,0,6,Morning,0
138,Assault,7.0,44,1,1,8,Bandra,119,1320.7640868649307,1.5,4.9,Completed,12.73904239353155,9.294002826113308,36,17,Cloudy,0,2,Evening,2
139,Harassment,2.0,53,1,0,4,Saket,22,679.3852272187407,1.2,1.1,Completed,42.56593462565085,9.01124265245666,29,17,Foggy,4,3,Evening,0
140,Fraud,7.0,51,1,0,0,Lajpat Nagar,53,1203.2595606343666,1.2,2.4,Completed,,1.0329164277644909,67,11,Foggy,4,6,Afternoon,1
141,Harassment,1.0,2,1,0,1,Saket,65,1311.571483569621,1.5,1.3,Cancelled,39.43276926239166,0.8398666076517394,41,33,Rainy,4,2,Afternoon,0
142,Theft,4.0,45,1,1,3,Dwarka,69,1277.337086080388,2.0,1.2,Completed,13.16733389621863,6.635986585613003,83,49,Cloudy,2,7,Night,2
143,Burglary,10.0,54,1,1,8,Connaught Place,79,1313.4793146079137,2.0,4.9,Completed,44.604583204886175,2.7405511143580634,49,13,Rainy,4,9,Afternoon,3
144,Harassment,4.0,20,1,1,6,Andheri,40,368.3543100804885,1.0,3.9,Completed,38.26714635110918,0.5211103219928361,39,30,Sunny,4,6,Evening,2
145,Fraud,5.0,43,1,1,2,Dwarka,100,686.5269893921937,1.2,3.0,Completed,12.203288477178589,8.41310777102776,33,10,Sunny,1,4,Night,3
146,Theft,10.0,47,0,1,8,Juhu,96,303.1292130347666,1.5,1.4,Completed,17.49388652012054,4.150647203783549,34,37,Sunny,0,1,Afternoon,4
147,Assault,1.0,13,1,1,2,Karol Bagh,74,,1.0,3.1,Completed,29.19907475912144,4.463374078062927,62,33,Foggy,4,6,Morning,2
148,Assault,7.0,26,1,1,1,Bandra,11,757.3495963842596,1.2,2.3,Completed,28.32502038991298,1.5376786330253158,76,23,Cloudy,4,1,Evening,2
149,Fraud,2.0,35,0,1,9,Bandra,65,1442.1272443284192,1.2,2.1,Completed,,5.014813547144739,38,36,Sunny,2,1,Morning,0
150,Theft,2.0,46,1,1,5,Colaba,68,908.2713941366144,1.2,3.5,Completed,26.222733700543472,7.874054380690082,72,25,Rainy,4,3,Night,0
151,Burglary,8.0,8,1,1,7,Andheri,108,1288.0753900467594,1.5,4.2,Completed,35.695750702868395,3.3465120365728738,59,21,Foggy,2,9,Afternoon,1
152,Harassment,9.0,28,1,1,7,Dwarka,92,1408.916792057964,1.5,2.8,Completed,22.19699613112217,8.364783831664049,42,38,Cloudy,4,8,Afternoon,0
153,Theft,6.0,41,1,1,8,Lajpat Nagar,78,175.53427035290338,1.5,3.0,Completed,16.173539287453398,6.677121318094879,97,23,Rainy,3,3,Night,2
154,Assault,1.0,15,0,1,4,Connaught Place,34,284.99278576034453,1.0,3.6,Completed,11.18228197570032,4.443495446907159,41,15,Rainy,3,7,Evening,0
155,Fraud,1.0,55,1,1,5,Juhu,21,471.7205812581816,1.2,1.5,Completed,,5.294128421532741,91,40,Rainy,1,5,Night,4
156,Fraud,7.0,50,1,1,4,Saket,48,944.3267485898092,1.2,4.3,Completed,24.940759141372823,1.5618041948809598,50,27,Cloudy,1,6,Morning,0
157,Harassment,8.0,8,1,1,1,Saket,76,139.50736681933247,1.0,4.3,Completed,33.067405018081104,8.992023488865831,35,27,Foggy,2,1,Afternoon,3
158,Fraud,3.0,11,1,1,7,Karol Bagh,80,1190.6490392962287,1.0,3.2,Completed,38.225972117841366,8.991636528858947,73,38,Sunny,3,1,Morning,0
159,Fraud,9.0,29,0,1,9,Karol Bagh,30,142.49363953782637,1.5,1.8,Completed,18.40219805613662,4.133289585880801,43,39,Sunny,2,5,Night,2
160,Theft,4.0,59,0,1,8,Juhu,21,279.72612096893766,1.2,3.0,Completed,27.26209009942613,6.760059532595822,40,21,Rainy,3,2,Evening,4
161,Burglary,4.0,5,1,1,7,Bandra,39,603.4764030467724,2.0,1.4,Completed,18.18068552859169,7.763872633288033,91,17,Foggy,4,5,Evening,0
162,Harassment,3.0,47,0,1,7,Karol Bagh,50,,2.0,4.1,Completed,43.29078720554534,8.344181739489255,57,36,Foggy,1,3,Morning,4
163,Theft,8.0,47,1,1,9,Connaught Place,112,,1.0,2.2,Cancelled,32.66413648900127,7.384362155597959,89,21,Rainy,4,3,Night,3
